,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress
118,Japan,2020-05-04,24,0,0,0,0,0,0,0,0,4,4,51,4,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Japan,2020-05-05,24,0,12,0,0,17,0,0,0,8,0,47,8,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Japan,2020-05-06,23,0,0,0,12,51,0,0,4,0,0,39,12,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Japan,2020-05-07,24,0,12,12,0,0,0,0,0,0,0,53,12,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Japan,2020-05-08,12,0,37,12,0,36,0,0,0,4,4,41,12,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Japan,2020-05-09,25,0,0,12,0,0,0,0,0,4,0,29,8,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Japan,2020-05-10,38,0,38,0,0,18,0,0,4,0,0,46,4,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Japan,2020-05-11,0,0,50,0,0,0,18,0,0,8,4,37,21,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weekly average 0f 2019-20020,277.666666666667,0,291.777777777778,26,4.22222222222222,250.777777777778,82.7777777777778,0,21.8888888888889,102.222222222222,26.3333333333333,572.333333333333,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weekly average 0f 2019,142.888888888889,0,123.666666666667,3.11111111111111,1.55555555555556,122.777777777778,33.3333333333333,0,7.44444444444444,49.8888888888889,9.33333333333333,271.222222222222,71.4444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weekly average 0f 2020,134.777777777778,0,168.111111111111,22.8888888888889,2.66666666666667,128,49.4444444444444,0,14.4444444444444,52.3333333333333,17,301.111111111111,80.5555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
